char	pengim	annot
涇	heng6	
䦛䦟	zeng1 cui2	
壺	hu5	
壼	kung2	
𰔖	sek4	
𢅎	giau2	
崚嶒	leng5 zeng5	
嵖岈	ce5 ghe5	
徯	hi5	
犺	hang1	文
犺	ho1	白
犺	ha1	又
彠	huak8	
㛃	giak4	
娑	so1	
𡜿	bhou2	
娠	sing5	
緔	siang6	
鞝	siang6	
柝	toh4	
𣟄	toh4	
栀	gi1	
梔	gi1	
桊	guang3	
榅桲	ung1 buak8	
楞	leng5	
𣖄	ciau1	方
樗	cu1	
槅	geh4	
檨	suain7	
櫼	ciam1	
殗殜	iap8 diap8	
毪	mou5	
氥	si1	
斁	iah8	
⿰录攵	lok4	方
㪖	lok4	方
𢾧	zeng1	方
⿰烝攵	zeng1	方
䱷	hv5	
肋脦	lah4 dah4	
⿰月皂	ue1	
⿰月皂	ue5	又
脦	dah4	bound
脟	luang5	
膋	la5	
膪	dai3	
膪	cui2	俗
𣢁	hain1	
𣢣	cek8	
欬	kak4	
欬	hai6	又
欶	suh4	
歊	ho1	方
歘	huh4	
颬	hia1	
瓿	bau6	方
㽀	deng6	
甏	beng6	
𣥼	co7	方
敠	doh4	
敠	duak4	又
敠	coh4	方
窔	iau3	
丫	a1	
義	ngi6	
之	ze1	
卞	biang6	
爲	ui5	
頭	tao5	
⿱⺌土	gueh8	方！
半	buan3	
主	zu2	
必	bik4	
永	iong2	
州	ziu1	
良	liang5	
卷	gvng2	
卷	guang6	
舉	gv2	
叛	buang6	
鬯	tiang3	
一	zek8	訓
一	ik4	
七	cik4	
丁	deng1	
丁	zeng1	
丁寧	deng1 leng5	
丁當	deng1 dang1	
三	san1	白
三	sam1	文
乾	gang1	
干	gang1	
乾	guan1	
幹	gang3	
於	v1	
於	i1	又
與	v2	
與	v6	
與	v7	
下	hia6	文
下	e6	白
下	ge6	方
下	he6	方
上	zion6	
上	zion7	
上	siang5	
上	siang6	
丈	dvng6	白
丈	ziang6	文
丈	dion6	白
萬	bhuang7	
万俟	mok8 ki5	
才	cai5	
纔	cai5	
才	zai5	
丰	hong1	
豐	hong1	
開	kai1	文
開	kui1	白
井	zen2	
無	bho5	白
無	bhu5	文
天	tin1	白
天	tiang1	文
夫	hu1	文
夫	bou1	白
夫	hu7	又
專	zuang1	
丐	gai3	
廿	niam6	
廿	rih8	俗
廿	riap8	俗、又
⿱一⿰⿱〢一𠃌	miang2	
卅	sap4	
五	ngou6	白
五	u2	文
五	u5	
冇	pan3	方！
友	iu2	
不	buk4	
不	houn2	
牙	ghe5	
牙	nga5	方
屯	tung5	
屯	dung1	
互	hu6	文
互	hou7	白
平	peng5	文
平	ben5	白
平	pen5	
丕	pi2	
擊	kek4	
未	bhi7	
未	bhue7	
末	muak8	
末	bhuah8	
本	bung2	
正	zian3	
正	zian1	
甘	gam1	
世	si3	
可	ko2	
可汗	kiok4 hang5	
左	zo2	
右	iu6	
丙	bian2	
𠕇	doin7	方！
冊	ceh4	
東	dang1	白
東	dong1	文
夾	giap8	文
夾	goih8	白
裌	goih4	
再	zai3	
吏	li7	
亙	geng3	又
亙	gvng3	
亙	tang3	俗
亞	a3	
亞	a1	
考	kau2	
在	do6	白
在	zai6	文
百	beh4	
而	rv5	
有	u6	白
有	iu2	
至	zi3	
堯	ngiau5	
死	si2	
夷	i5	
來	lai5	
來	lai2	方
求	kiu5	
嚴	ngiam5	
甫	pou2	
更	geng1	
更	gen1	
更	geng3	
束	sok4	
麗	li6	
麗	li5	
兩	liang2	文
兩	no6	白
兩	nio2	
両	nio2	
巫	bhu5	
辰	sing5	
武	bhu2	
喪	svng1	
喪	sang3	
表	biao2	
表	bio2	
錶	bio1	
奉	hong6	
事	sv7	
事	sv6	
畫	ue7	
畫	ueh8	
棗	zo2	
奏	zau3	
巷	hang7	
面	ming7	
麪	mi7	
麵	mi7	
甚	sim6	
柬	gang2	
歪	uai1	
歪	cua2	訓
豔	iam7	
艷	iam7	
泰	tai3	
秦	cing5	
夏	he7	
夏	gia2	又
鬲	leh8	
鬲	geh8	
彧	hiok4	
哥	go1	
𠁞	bhoi6	方！
孬	mo2	
堇	gvng2	
爽	suang2	
棘	gek4	
奡	ngau6	
皕	bek4	
皕	bi3	又
鼓	gou2	
賴	nai6	文
賴	lua7	白
⿱不是	mi6	方！
⿱不畏	mui3	方！
賾	zeh4	
噩	ngak8	
整	zian2	
臻	zing1	
鼒	zv1	
鼙	bi5	
靧	hui3	
䩍	liau1	方
囊	nang1	
囊	lang2	又
纛	dau6	
纛	dak8	又
鼟	dvng1	
也	ia7	
中	dong1	文
中	dang1	白
中	dong3	
中	deng3	
內	lai6	訓
北	bak4	
卡	ka2	
舊	gu7	
史	sv2	
央	iang1	
冉	riam2	
且	cian2	
由	iu5	
申	sing1	
甲	gah4	
曱甴	ga1 zuah8	方！
電	diang6	
出	cuk4	
齣	cuk4	
凹	au1	
凸	duk8	
曳	hi6	
曲	kek4	
曲	kiok4	又
麴	kak4	方
麯	kak4	方
肉	nek8	
肉	bhah4	訓
師	sv1	
師	sai1	
羋	mi2	
縣	guin7	
串	cuang3	
暢	tiang3	
非	hui1	
韭	gu2	
臨	lim5	
鼎	dian2	
夥	hue2	
乂	ngi6	
九	gao2	白
九	giu2	文
乃	nai6	
廼	nai6	
迺	nai6	
匕	bi3	
千	coin1	
乞	kvk4	
乞	kvh4	方
丸	in5	訓
川	cuang1	
麼	moh4	
麼	mo7	又
麼	iau1	
久	gu2	
及	gip8	
長	dvng5	白
長	ciang5	文
長	ziang2	
長	dion2	方
乏	huak8	文
乏	hak8	白
乏	hek8	白
爻	ngau5	
午	ngou2	
壬	rim6	
夭	iau1	
殀	iau1	
升	seng1	
昇	seng1	
陞	seng1	
幣	bi6	
反	huang2	文
反	boin2	白
丹	dang1	文
丹	duan1	白
氏	si6	
氏	zin1	bound
烏	ou1	白
烏	u1	文
乎	hu1	
乎	hu7	又
生	sen1	
生	cen1	
生	seng1	
失	sik4	
乍	za3	
丘	kiu1	文
丘	ku1	白
坵	kiu1	方、文
坵	ku1	方、白
卮	zi1	
卮	zv1	又
卮	i5	
氐	di1	
氐	di2	
樂	lak8	
樂	ghauh8	
